name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.360000;3.817051e+000;-6.468216e+000;1.115709e+001;5.834906e-002;-2.658037e-002;2.716734e+000;2.295296e+001;-8.143410e+000;3.403455e+001;-2.009055e+001;2.260034e+001;1.674557e-002;3.072234e+000;1.195395e+000;5.520480e+000;1.257187e+001;9.201660e+002;1.307315e+003;-4.501296e+000;1.945692e+003;-6.289927e+000;2.842296e+003;-3.438183e-001
'unknown';0.370000;3.993733e+000;-4.953265e+000;9.278538e+000;6.625503e-002;-3.015870e-002;2.275050e+000;2.399232e+001;-1.114565e+001;3.996767e+001;-2.295750e+001;2.214375e+001;7.229788e-003;2.246156e+000;9.596489e-001;6.714737e+000;1.200624e+001;6.258660e+002;1.376309e+003;1.146549e-001;1.702956e+003;-6.543392e+000;2.497135e+003;8.754702e-001
'unknown';0.380000;3.904657e+000;-3.583113e+000;6.329702e+000;6.482566e-002;-3.210657e-002;1.976272e+000;2.505845e+001;-1.296532e+001;4.563100e+001;-2.227305e+001;2.176589e+001;1.014142e-002;1.511374e+000;5.363151e-001;8.484483e+000;1.268928e+001;2.912364e+002;1.411915e+003;4.569467e+000;1.452351e+003;-9.878002e+000;2.167934e+003;3.646679e-001
'unknown';0.390000;3.742620e+000;-2.659050e+000;4.626108e+000;6.468149e-002;-3.091241e-002;1.865702e+000;2.699204e+001;-1.614054e+001;4.949614e+001;-2.315317e+001;2.145996e+001;3.037728e-002;7.590935e-001;1.011219e+000;1.024032e+001;1.152869e+001;2.411671e+002;1.410168e+003;3.570721e+000;1.431270e+003;-9.002373e+000;2.196063e+003;2.307339e+000
'unknown';0.400000;3.628918e+000;-2.080736e+000;4.613174e+000;4.864073e-002;-3.007531e-002;1.576143e+000;2.821781e+001;-1.882853e+001;5.028576e+001;-2.293299e+001;2.117538e+001;4.770152e-002;7.415958e-001;1.104804e+000;1.135293e+001;1.288471e+001;2.497452e+002;1.467869e+003;0;1.412717e+003;-8.008983e+000;2.178755e+003;2.889783e+000
'unknown';0.410000;3.614463e+000;-2.271214e+000;5.883842e+000;4.323654e-002;-2.980679e-002;1.463483e+000;2.894476e+001;-2.057383e+001;4.771051e+001;-2.512536e+001;2.091407e+001;5.441975e-002;5.391158e-001;1.657353e+000;1.156706e+001;1.321221e+001;2.947940e+002;1.416547e+003;8.714051e+000;1.414606e+003;-3.104830e+000;2.162520e+003;5.700130e+000
'unknown';0.420000;3.582406e+000;-3.081729e+000;7.280094e+000;4.053650e-002;-2.563871e-002;1.319222e+000;3.001929e+001;-2.147176e+001;4.588232e+001;-2.520184e+001;2.059674e+001;3.869094e-002;3.826678e-001;1.844319e+000;1.127079e+001;1.121605e+001;3.822229e+002;1.239449e+003;1.020912e+001;1.405383e+003;-1.720389e-001;2.198599e+003;1.128799e+001
'unknown';0.430000;3.515754e+000;-3.933505e+000;8.414427e+000;4.595612e-002;-2.311206e-002;1.329800e+000;2.922034e+001;-2.008467e+001;4.368709e+001;-2.235355e+001;2.019402e+001;2.461708e-002;1.904755e-001;2.038774e+000;1.136764e+001;1.061677e+001;3.824250e+002;1.177576e+003;9.358598e+000;1.379848e+003;-5.838252e-001;2.220523e+003;1.158062e+001
'unknown';0.440000;3.216006e+000;-5.208234e+000;9.688574e+000;4.864108e-002;-1.750362e-002;1.593567e+000;2.872468e+001;-1.818725e+001;4.443554e+001;-1.779919e+001;1.972341e+001;2.114924e-002;1.832656e-001;1.275337e+000;1.110242e+001;1.021088e+001;3.296578e+002;1.314495e+003;6.665743e+000;1.317188e+003;-3.357734e+000;2.218395e+003;8.683968e+000
'unknown';0.450000;2.855529e+000;-5.508175e+000;9.945249e+000;3.926570e-002;-1.794914e-002;1.769651e+000;2.735513e+001;-1.643308e+001;4.435131e+001;-1.734889e+001;1.916714e+001;2.280419e-002;1.475215e-001;-7.441235e-001;1.013570e+001;1.133047e+001;3.398847e+002;1.365651e+003;3.619900e+000;1.300439e+003;-7.718825e+000;2.182271e+003;2.314570e+000
